word,品詞,意味,頻出度,example_en,example_ja
accept,動詞,受け入れる,A,I decided to accept his offer.,私は彼の申し出を受けることにした。
achieve,動詞,達成する,A,She worked hard to achieve her goal.,彼女は目標を達成するために懸命に働いた。
act,動詞,行動する,A,We must act quickly to save the earth.,地球を救うために素早く行動しなければならない。
add,動詞,加える,A,Please add some salt to the soup.,スープに塩を少し加えてください。
admit,動詞,認める,A,He finally admitted his mistake.,彼はついに自分の間違いを認めた。
advertise,動詞,宣伝する,A,They are advertising the new game on TV.,彼らはテレビで新しいゲームを宣伝している。
advise,動詞,助言する,A,The doctor advised me to exercise.,医者は私に運動するように助言した。
agree,動詞,同意する,A,I agree with your idea.,私はあなたの考えに同意します。
allow,動詞,許可する,A,My parents allowed me to study abroad.,両親は私が留学することを許してくれた。
announce,動詞,発表する,A,The school announced the holiday today.,学校は今日、休日を発表した。
apologize,動詞,謝る,A,You should apologize for being late.,君は遅刻したことを謝るべきだ。
appear,動詞,現れる,A,A famous actor appeared on the news.,有名な俳優がニュースに現れた（出た）。
appreciate,動詞,感謝する,A,I really appreciate your kindness.,あなたの親切に本当に感謝しています。
approach,動詞,近づく,A,The train is approaching the station.,電車が駅に近づいている。
argue,動詞,議論する,A,Don't argue with your parents.,親と言い争いをしてはいけません。
arrange,動詞,手配する,A,I will arrange a taxi for you.,あなたのためにタクシーを手配しましょう。
attack,動詞,攻撃する,A,The bear attacked the campers.,クマがキャンプ客を襲った。
attend,動詞,出席する,A,He didn't attend the class yesterday.,彼は昨日、授業に出席しなかった。
attract,動詞,引きつける,A,This city attracts many tourists.,この都市は多くの観光客を惹きつける。
avoid,動詞,避ける,A,You should avoid eating too much sugar.,砂糖を摂りすぎるのは避けるべきだ。
award,動詞,授与する,A,He was awarded a gold medal.,彼は金メダルを授与された。
bake,動詞,焼く,A,My mother is baking bread now.,母は今、パンを焼いている。
balance,動詞,保つ,A,It's important to balance study and play.,勉強と遊びのバランスをとることが大切だ。
bear,動詞,耐える,A,I can't bear this hot weather.,この暑い天気には耐えられない。
beat,動詞,打ち負かす,A,Our team beat them in the game.,私たちのチームは試合で彼らを破った。
belong,動詞,所属する,A,I belong to the tennis club.,私はテニス部に所属している。
bite,動詞,かむ,A,The dog bit the mailman.,その犬は郵便配達員を噛んだ。
block,動詞,ふさぐ,A,The snow blocked the road.,雪が道をふさいだ。
blow,動詞,吹く,A,A strong wind began to blow.,強い風が吹き始めた。
borrow,動詞,借りる,A,Can I borrow your umbrella?,傘を借りてもいいですか。
bother,動詞,悩ませる,A,Stop bothering me!,私を困らせる（邪魔する）のはやめて！
breathe,動詞,呼吸する,A,It's difficult to breathe in this room.,この部屋では呼吸がしにくい。
broadcast,動詞,放送する,A,The game was broadcast live.,試合は生中継で放送された。
burn,動詞,燃える,A,The house was burning.,家が燃えていた。
cancel,動詞,取り消す,A,They had to cancel the trip.,彼らは旅行を中止しなければならなかった。
care,動詞,気にかける,A,She cares deeply about her students.,彼女は生徒たちのことをとても気にかけている。
carry,動詞,運ぶ,A,Can you help me carry this box?,この箱を運ぶのを手伝ってくれますか。
cause,動詞,引き起こす,A,Careless driving causes accidents.,不注意な運転が事故を引き起こす。
celebrate,動詞,祝う,A,We celebrated my sister's birthday.,私たちは妹の誕生日を祝った。
challenge,動詞,挑戦する,A,I want to challenge a new hobby.,新しい趣味に挑戦したい。
chat,動詞,おしゃべりする,A,I chatted with my friend online.,私はオンラインで友人と話した。
cheer,動詞,元気づける,A,This music always cheers me up.,この音楽はいつも私を元気づけてくれる。
