word,品詞,意味,頻出度,example_en,example_ja
embrace,動詞,を受け入れる,,,
proportion,名詞,比率,,,
contract,名詞,契約,,,
chest,名詞,胸,,,
treasure,名詞,財宝,,,
stock,名詞,株（式）,,,
facility,名詞,設備,,,
sum,名詞,金額、合計、要約,,,
rank,名詞,地位,,,
democracy,名詞,民主主義,,,
emergency,名詞,緊急事態,,,
protest,名詞,抗議,,,
immigrant,名詞,移民,,,
vehicle,名詞,車、乗り物,,,
routine,名詞,決まりきった仕事、日課,,,
stuff,名詞,もの、こと,,,
row,名詞,列,,,
profile,名詞,プロフィール、人物紹介,,,
dawn,名詞,夜明け,,,
welfare,名詞,福祉,,,
perspective,名詞,見方,,,
enthusiasm,名詞,熱意,,,
faith,名詞,信頼,,,
occupation,名詞,職業,,,
witness,名詞,証人、目撃者,,,
kingdom,名詞,王国,,,
equivalent,名詞,同等のもの,,,
objective,名詞,目的、目標,,,
pile,名詞,積み重ね,,,
shelter,名詞,避難（所）,,,
trial,名詞,試み、裁判,,,
honor,名詞,名誉,,,
territory,名詞,領土、縄張り,,,
frame,名詞,枠、額縁、骨組み,,,
border,名詞,国境地帯,,,
statistics,名詞,統計,,,
enterprise,名詞,企業、事業,,,
context,名詞,文脈,,,
load,名詞,荷物,,,
grain,名詞,穀物,,,
review,名詞,再検討,,,
prejudice,名詞,偏見,,,
strain,名詞,負担,,,
trap,名詞,わな,,,
temper,名詞,気性,,,
slave,名詞,奴隷,,,
wound,名詞,傷,,,
divorce,名詞,離婚,,,
tune,名詞,曲,,,
height,名詞,高さ,,,
faculty,名詞,学部、能力,,,
span,名詞,期間,,,
dimension,名詞,側面、要素、次元,,,
version,名詞,型,,,
parallel,名詞,類似物、匹敵するもの,,,
horizon,名詞,地平線,,,
acquaintance,名詞,知人,,,
burden,名詞,重荷,,,
basis,名詞,基礎,,,
poison,名詞,毒,,,
constitution,名詞,憲法,,,
administration,名詞,経営、行政,,,
charm,名詞,魅力,,,
organ,名詞,臓器、器官,,,
prey,名詞,獲物,,,
venture,名詞,冒険的事業,,,
mission,名詞,使命、任務,,,
inquiry,名詞,調査、質問,,,
award,名詞,賞,,,
strip,名詞,細長い一片,,,
distress,名詞,苦しみ,,,
circulation,名詞,循環、発行部数,,,
shade,名詞,日陰,,,
stereotype,名詞,典型的なイメージ、類型,,,
client,名詞,依頼人,,,
output,名詞,生産高,,,
lord,名詞,神,,,
convention,名詞,慣習、しきたり,,,
mine,名詞,鉱山,,,
craft,名詞,工芸、技術,,,
core,名詞,中心、核心,,,
stroke,名詞,脳卒中、発作、打撃,,,
frontier,名詞,国境,,,
peer,名詞,同僚,,,
vessel,名詞,血管、船,,,
disability,名詞,障害,,,
gravity,名詞,重力,,,
ethic,名詞,倫理,,,
terminal,名詞,終点,,,
tide,名詞,潮流,,,
abuse,名詞,虐待,,,
guilty,形容詞,有罪の,,,
vital,形容詞,きわめて重要な,,,
fellow,形容詞,仲間の,,,
contemporary,形容詞,現代の,,,
annual,形容詞,年に一度の,,,
accustomed,形容詞,慣れた,,,
steady,形容詞,しっかりした,,,
dull,形容詞,退屈させる,,,
keen,形容詞,熱望して,,,
